SQL_Name,Export_Name,Path,Content,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13
der2_cRefset_AssociationDelta_1000230_,der2_cRefset_AssociationUKPCDelta_1000230_,Delta/Refset/Content,Empty,id,effectiveTime,active,moduleId,refsetId,referencedComponentId,targetComponentId,,,,,,
der2_cRefset_AttributeValueDelta_1000230_,der2_cRefset_AttributeValueUKPCDelta_1000230_,Delta/Refset/Content,Empty,id,effectiveTime,active,moduleId,refsetId,referencedComponentId,valueId,,,,,,
der2_Refset_SimpleDelta_1000230_,der2_Refset_SimpleUKPCDelta_1000230_,Delta/Refset/Content,Populated,,,,,,,,,,,,,
der2_cRefset_LanguageDelta-en_1000230_,der2_cRefset_LanguageUKPCDelta-en_1000230_,Delta/Refset/Language,Populated,,,,,,,,,,,,,
der2_iisssccRefset_ExtendedMapDelta_1000230_,der2_iisssccRefset_ExtendedMapUKPCDelta_1000230_,Delta/Refset/Map,Empty,id,effectiveTime,active,moduleId,refsetId,referencedComponentId,mapGroup,mapPriority,mapRule,mapAdvice,mapTarget,correlationId,mapCategoryId
der2_iisssciRefset_ExtendedMapDelta_1000230_,der2_iisssciRefset_ExtendedMapUKPCDelta_1000230_,Delta/Refset/Map,Empty,id,effectiveTime,active,moduleId,refsetId,referencedComponentId,mapGroup,mapPriority,mapRule,mapAdvice,mapTarget,correlationId,mapBlock
der2_sRefset_SimpleMapDelta_1000230_,der2_sRefset_SimpleMapUKPCDelta_1000230_,Delta/Refset/Map,Empty,id,effectiveTime,active,moduleId,refsetId,referencedComponentId,mapTarget,,,,,,
der2_cciRefset_RefsetDescriptorDelta_1000230_,der2_cciRefset_RefsetDescriptorUKPCDelta_1000230_,Delta/Refset/Metadata,Populated,,,,,,,,,,,,,
der2_ciRefset_DescriptionTypeDelta_1000230_,der2_ciRefset_DescriptionTypeUKPCDelta_1000230_,Delta/Refset/Metadata,Empty,id,effectiveTime,active,moduleId,refsetId,referencedComponentId,descriptionFormat,descriptionLength,,,,,
der2_cissccRefset_MRCMAttributeDomainDelta_1000230_,der2_cissccRefset_MRCMAttributeDomainUKPCDelta_1000230_,Delta/Refset/Metadata,Empty,id,effectiveTime,active,moduleId,refsetId,referencedComponentId,domainId,grouped,attributeCardinality,attributeInGroupCardinality,ruleStrengthId,contentTypeId,
der2_cRefset_MRCMModuleScopeDelta_1000230_,der2_cRefset_MRCMModuleScopeUKPCDelta_1000230_,Delta/Refset/Metadata,Empty,id,effectiveTime,active,moduleId,refsetId,referencedComponentId,mrcmRuleRefsetId,,,,,,
der2_ssccRefset_MRCMAttributeRangeDelta_1000230_,der2_ssccRefset_MRCMAttributeRangeUKPCDelta_1000230_,Delta/Refset/Metadata,Empty,id,effectiveTime,active,moduleId,refsetId,referencedComponentId,rangeConstraint,attributeRule,ruleStrengthId,contentTypeId,,,
der2_ssRefset_ModuleDependencyDelta_1000230_,der2_ssRefset_ModuleDependencyUKPCDelta_1000230_,Delta/Refset/Metadata,Populated,,,,,,,,,,,,,
der2_sssssssRefset_MRCMDomainDelta_1000230_,der2_sssssssRefset_MRCMDomainUKPCDelta_1000230_,Delta/Refset/Metadata,Empty,id,effectiveTime,active,moduleId,refsetId,referencedComponentId,domainConstraint,parentDomain,proximalPrimitiveConstraint,proximalPrimitiveRefinement,domainTemplateForPrecoordination,domainTemplateForPostcoordination,guideURL
sct2_Concept_Delta_1000230_,sct2_Concept_UKPCDelta_1000230_,Delta/Terminology,Populated,,,,,,,,,,,,,
sct2_Description_Delta-en_1000230_,sct2_Description_UKPCDelta-en_1000230_,Delta/Terminology,Populated,,,,,,,,,,,,,
sct2_Identifier_Delta_1000230_,sct2_Identifier_UKPCDelta_1000230_,Delta/Terminology,Empty,identifierSchemeId,alternateIdentifier,effectiveTime,active,moduleId,referencedComponentId,,,,,,,
sct2_Relationship_Delta_1000230_,sct2_Relationship_UKPCDelta_1000230_,Delta/Terminology,Populated,,,,,,,,,,,,,
sct2_StatedRelationship_Delta_1000230_,sct2_StatedRelationship_UKPCDelta_1000230_,Delta/Terminology,Empty,id,effectiveTime,active,moduleId,sourceId,destinationId,relationshipGroup,typeId,characteristicTypeId,modifierId,,,
sct2_TextDefinition_Delta-en_1000230_,sct2_TextDefinition_UKPCDelta-en_1000230_,Delta/Terminology,Empty,id,effectiveTime,active,moduleId,conceptId,languageCode,typeId,term,caseSignificanceId,,,,
der2_cRefset_AssociationFull_1000230_,der2_cRefset_AssociationUKPCFull_1000230_,Full/Refset/Content,Empty,id,effectiveTime,active,moduleId,refsetId,referencedComponentId,targetComponentId,,,,,,
der2_cRefset_AttributeValueFull_1000230_,der2_cRefset_AttributeValueUKPCFull_1000230_,Full/Refset/Content,Empty,id,effectiveTime,active,moduleId,refsetId,referencedComponentId,valueId,,,,,,
der2_Refset_SimpleFull_1000230_,der2_Refset_SimpleUKPCFull_1000230_,Full/Refset/Content,Populated,,,,,,,,,,,,,
der2_cRefset_LanguageFull-en_1000230_,der2_cRefset_LanguageUKPCFull-en_1000230_,Full/Refset/Language,Populated,,,,,,,,,,,,,
der2_iisssccRefset_ExtendedMapFull_1000230_,der2_iisssccRefset_ExtendedMapUKPCFull_1000230_,Full/Refset/Map,Empty,id,effectiveTime,active,moduleId,refsetId,referencedComponentId,mapGroup,mapPriority,mapRule,mapAdvice,mapTarget,correlationId,mapCategoryId
der2_iisssciRefset_ExtendedMapFull_1000230_,der2_iisssciRefset_ExtendedMapUKPCFull_1000230_,Full/Refset/Map,Empty,id,effectiveTime,active,moduleId,refsetId,referencedComponentId,mapGroup,mapPriority,mapRule,mapAdvice,mapTarget,correlationId,mapBlock
der2_sRefset_SimpleMapFull_1000230_,der2_sRefset_SimpleMapUKPCFull_1000230_,Full/Refset/Map,Empty,id,effectiveTime,active,moduleId,refsetId,referencedComponentId,mapTarget,,,,,,
der2_cciRefset_RefsetDescriptorFull_1000230_,der2_cciRefset_RefsetDescriptorUKPCFull_1000230_,Full/Refset/Metadata,Populated,,,,,,,,,,,,,
der2_ciRefset_DescriptionTypeFull_1000230_,der2_ciRefset_DescriptionTypeUKPCFull_1000230_,Full/Refset/Metadata,Empty,id,effectiveTime,active,moduleId,refsetId,referencedComponentId,descriptionFormat,descriptionLength,,,,,
der2_cissccRefset_MRCMAttributeDomainFull_1000230_,der2_cissccRefset_MRCMAttributeDomainUKPCFull_1000230_,Full/Refset/Metadata,Empty,id,effectiveTime,active,moduleId,refsetId,referencedComponentId,domainId,grouped,attributeCardinality,attributeInGroupCardinality,ruleStrengthId,contentTypeId,
der2_cRefset_MRCMModuleScopeFull_1000230_,der2_cRefset_MRCMModuleScopeUKPCFull_1000230_,Full/Refset/Metadata,Empty,id,effectiveTime,active,moduleId,refsetId,referencedComponentId,mrcmRuleRefsetId,,,,,,
der2_ssccRefset_MRCMAttributeRangeFull_1000230_,der2_ssccRefset_MRCMAttributeRangeUKPCFull_1000230_,Full/Refset/Metadata,Empty,id,effectiveTime,active,moduleId,refsetId,referencedComponentId,rangeConstraint,attributeRule,ruleStrengthId,contentTypeId,,,
der2_ssRefset_ModuleDependencyFull_1000230_,der2_ssRefset_ModuleDependencyUKPCFull_1000230_,Full/Refset/Metadata,Populated,,,,,,,,,,,,,
der2_sssssssRefset_MRCMDomainFull_1000230_,der2_sssssssRefset_MRCMDomainUKPCFull_1000230_,Full/Refset/Metadata,Empty,id,effectiveTime,active,moduleId,refsetId,referencedComponentId,domainConstraint,parentDomain,proximalPrimitiveConstraint,proximalPrimitiveRefinement,domainTemplateForPrecoordination,domainTemplateForPostcoordination,guideURL
sct2_Concept_Full_1000230_,sct2_Concept_UKPCFull_1000230_,Full/Terminology,Populated,,,,,,,,,,,,,
sct2_Description_Full-en_1000230_,sct2_Description_UKPCFull-en_1000230_,Full/Terminology,Populated,,,,,,,,,,,,,
sct2_Identifier_Full_1000230_,sct2_Identifier_UKPCFull_1000230_,Full/Terminology,Empty,identifierSchemeId,alternateIdentifier,effectiveTime,active,moduleId,referencedComponentId,,,,,,,
sct2_Relationship_Full_1000230_,sct2_Relationship_UKPCFull_1000230_,Full/Terminology,Populated,,,,,,,,,,,,,
sct2_StatedRelationship_Full_1000230_,sct2_StatedRelationship_UKPCFull_1000230_,Full/Terminology,Empty,id,effectiveTime,active,moduleId,sourceId,destinationId,relationshipGroup,typeId,characteristicTypeId,modifierId,,,
sct2_TextDefinition_Full-en_1000230_,sct2_TextDefinition_UKPCFull-en_1000230_,Full/Terminology,Empty,id,effectiveTime,active,moduleId,conceptId,languageCode,typeId,term,caseSignificanceId,,,,
der2_cRefset_AssociationSnapshot_1000230_,der2_cRefset_AssociationUKPCSnapshot_1000230_,Snapshot/Refset/Content,Empty,id,effectiveTime,active,moduleId,refsetId,referencedComponentId,targetComponentId,,,,,,
der2_cRefset_AttributeValueSnapshot_1000230_,der2_cRefset_AttributeValueUKPCSnapshot_1000230_,Snapshot/Refset/Content,Empty,id,effectiveTime,active,moduleId,refsetId,referencedComponentId,valueId,,,,,,
der2_Refset_SimpleSnapshot_1000230_,der2_Refset_SimpleUKPCSnapshot_1000230_,Snapshot/Refset/Content,Populated,,,,,,,,,,,,,
der2_cRefset_LanguageSnapshot-en_1000230_,der2_cRefset_LanguageUKPCSnapshot-en_1000230_,Snapshot/Refset/Language,Populated,,,,,,,,,,,,,
der2_iisssccRefset_ExtendedMapSnapshot_1000230_,der2_iisssccRefset_ExtendedMapUKPCSnapshot_1000230_,Snapshot/Refset/Map,Empty,id,effectiveTime,active,moduleId,refsetId,referencedComponentId,mapGroup,mapPriority,mapRule,mapAdvice,mapTarget,correlationId,mapCategoryId
der2_iisssciRefset_ExtendedMapSnapshot_1000230_,der2_iisssciRefset_ExtendedMapUKPCSnapshot_1000230_,Snapshot/Refset/Map,Empty,id,effectiveTime,active,moduleId,refsetId,referencedComponentId,mapGroup,mapPriority,mapRule,mapAdvice,mapTarget,correlationId,mapBlock
der2_sRefset_SimpleMapSnapshot_1000230_,der2_sRefset_SimpleMapUKPCSnapshot_1000230_,Snapshot/Refset/Map,Empty,id,effectiveTime,active,moduleId,refsetId,referencedComponentId,mapTarget,,,,,,
der2_cciRefset_RefsetDescriptorSnapshot_1000230_,der2_cciRefset_RefsetDescriptorUKPCSnapshot_1000230_,Snapshot/Refset/Metadata,Populated,,,,,,,,,,,,,
der2_ciRefset_DescriptionTypeSnapshot_1000230_,der2_ciRefset_DescriptionTypeUKPCSnapshot_1000230_,Snapshot/Refset/Metadata,Empty,id,effectiveTime,active,moduleId,refsetId,referencedComponentId,descriptionFormat,descriptionLength,,,,,
der2_cissccRefset_MRCMAttributeDomainSnapshot_1000230_,der2_cissccRefset_MRCMAttributeDomainUKPCSnapshot_1000230_,Snapshot/Refset/Metadata,Empty,id,effectiveTime,active,moduleId,refsetId,referencedComponentId,domainId,grouped,attributeCardinality,attributeInGroupCardinality,ruleStrengthId,contentTypeId,
der2_cRefset_MRCMModuleScopeSnapshot_1000230_,der2_cRefset_MRCMModuleScopeUKPCSnapshot_1000230_,Snapshot/Refset/Metadata,Empty,id,effectiveTime,active,moduleId,refsetId,referencedComponentId,mrcmRuleRefsetId,,,,,,
der2_ssccRefset_MRCMAttributeRangeSnapshot_1000230_,der2_ssccRefset_MRCMAttributeRangeUKPCSnapshot_1000230_,Snapshot/Refset/Metadata,Empty,id,effectiveTime,active,moduleId,refsetId,referencedComponentId,rangeConstraint,attributeRule,ruleStrengthId,contentTypeId,,,
der2_ssRefset_ModuleDependencySnapshot_1000230_,der2_ssRefset_ModuleDependencyUKPCSnapshot_1000230_,Snapshot/Refset/Metadata,Populated,,,,,,,,,,,,,
der2_sssssssRefset_MRCMDomainSnapshot_1000230_,der2_sssssssRefset_MRCMDomainUKPCSnapshot_1000230_,Snapshot/Refset/Metadata,Empty,id,effectiveTime,active,moduleId,refsetId,referencedComponentId,domainConstraint,parentDomain,proximalPrimitiveConstraint,proximalPrimitiveRefinement,domainTemplateForPrecoordination,domainTemplateForPostcoordination,guideURL
sct2_Concept_Snapshot_1000230_,sct2_Concept_UKPCSnapshot_1000230_,Snapshot/Terminology,Populated,,,,,,,,,,,,,
sct2_Description_Snapshot-en_1000230_,sct2_Description_UKPCSnapshot-en_1000230_,Snapshot/Terminology,Populated,,,,,,,,,,,,,
sct2_Identifier_Snapshot_1000230_,sct2_Identifier_UKPCSnapshot_1000230_,Snapshot/Terminology,Empty,identifierSchemeId,alternateIdentifier,effectiveTime,active,moduleId,referencedComponentId,,,,,,,
sct2_Relationship_Snapshot_1000230_,sct2_Relationship_UKPCSnapshot_1000230_,Snapshot/Terminology,Populated,,,,,,,,,,,,,
sct2_StatedRelationship_Snapshot_1000230_,sct2_StatedRelationship_UKPCSnapshot_1000230_,Snapshot/Terminology,Empty,id,effectiveTime,active,moduleId,sourceId,destinationId,relationshipGroup,typeId,characteristicTypeId,modifierId,,,
sct2_TextDefinition_Snapshot-en_1000230_,sct2_TextDefinition_UKPCSnapshot-en_1000230_,Snapshot/Terminology,Empty,id,effectiveTime,active,moduleId,conceptId,languageCode,typeId,term,caseSignificanceId,,,,
der2_iissscRefset_ComplexMapSnapshot_1000230_,der2_iissscRefset_ComplexMapUKPCSnapshot_1000230_,Snapshot/Refset/Map,Empty,id,effectiveTime,active,moduleId,refsetId,referencedComponentId,mapGroup,mapPriority,mapRule,mapAdvice,mapTarget,correlationId,
der2_iissscRefset_ComplexMapDelta_1000230_,der2_iissscRefset_ComplexMapUKPCDelta_1000230_,Delta/Refset/Map,Empty,id,effectiveTime,active,moduleId,refsetId,referencedComponentId,mapGroup,mapPriority,mapRule,mapAdvice,mapTarget,correlationId,
der2_iissscRefset_ComplexMapFull_1000230_,der2_iissscRefset_ComplexMapUKPCFull_1000230_,Full/Refset/Map,Empty,id,effectiveTime,active,moduleId,refsetId,referencedComponentId,mapGroup,mapPriority,mapRule,mapAdvice,mapTarget,correlationId,
sct2_sRefset_OWLExpressionFull_1000230_,sct2_sRefset_OWLExpressionUKPCFull_1000230_,Full/Terminology,Populated,,,,,,,,,,,,,
sct2_sRefset_OWLExpressionDelta_1000230_,sct2_sRefset_OWLExpressionUKPCDelta_1000230_,Delta/Terminology,Populated,,,,,,,,,,,,,
sct2_sRefset_OWLExpressionSnapshot_1000230_,sct2_sRefset_OWLExpressionUKPCSnapshot_1000230_,Snapshot/Terminology,Populated,,,,,,,,,,,,,
